,stpl_fips,city_name,state_abbr
1396,1707133,Bolingbrook,IL
1397,1712385,Champaign,IL
1398,1714000,Chicago,IL
1399,1714351,Cicero,IL
1400,1718823,Decatur,IL
1401,1723074,Elgin,IL
1402,1724582,Evanston,IL
1403,1738570,Joliet,IL
1404,1751622,Naperville,IL
1405,1757225,Palatine,IL
1406,1759000,Peoria,IL
1407,1765000,Rockford,IL
1408,1768003,Schaumburg,IL
1409,1772000,Springfield,IL
1410,1779293,Waukegan,IL
1411,1805860,Bloomington,IN
1412,1810342,Carmel,IN
1413,1822000,Evansville,IN
1414,1823278,Fishers,IN
1415,1825000,Fort Wayne,IN
1416,1827000,Gary,IN
1417,1831000,Hammond,IN
1418,1836003,Indianapolis,IN
1419,1840788,Lafayette,IN
1420,1851876,Muncie,IN
1421,1871000,South Bend,IN
1422,1912000,Cedar Rapids,IA
1423,1919000,Davenport,IA
1424,1921000,Des Moines,IA
1425,1938595,Iowa City,IA
1426,1973335,Sioux City,IA
1427,1982425,Waterloo,IA
1428,2036000,Kansas City,KS
1429,2038900,Lawrence,KS
1430,2052575,Olathe,KS
1431,2053775,Overland Park,KS
1432,2071000,Topeka,KS
1433,2079000,Wichita,KS
1434,2146027,Lexington,KY
1435,2148006,Louisville,KY
1436,2205000,Baton Rouge,LA
1437,2239475,Kenner,LA
1438,2240735,Lafayette,LA
1439,2241155,Lake Charles,LA
1440,2255000,New Orleans,LA
1441,2270000,Shreveport,LA
1442,2360545,Portland,ME
1443,2404000,Baltimore,MD
1444,2507000,Boston,MA
1445,2509000,Brockton,MA
1446,2511000,Cambridge,MA
1447,2523000,Fall River,MA
1448,2534550,Lawrence,MA
1449,2537000,Lowell,MA
1450,2537490,Lynn,MA
1451,2545000,New Bedford,MA
1452,2545560,Newton,MA
1453,2555745,Quincy,MA
1454,2562535,Somerville,MA
1455,2567000,Springfield,MA
1456,2582000,Worcester,MA
1457,2603000,Ann Arbor,MI
1458,2621000,Dearborn,MI
1459,2622000,Detroit,MI
1460,2627440,Farmington Hills,MI
1461,2629000,Flint,MI
1462,2634000,Grand Rapids,MI
1463,2642160,Kalamazoo,MI
1464,2646000,Lansing,MI
1465,2649000,Livonia,MI
1466,2669035,Rochester Hills,MI
1467,2674900,Southfield,MI
1468,2676460,Sterling Heights,MI
1469,2680700,Troy,MI
1470,2684000,Warren,MI
1471,2686000,Westland,MI
1472,2688940,Wyoming,MI
1473,2706616,Bloomington,MN
1474,2707966,Brooklyn Park,MN
1475,2717000,Duluth,MN
1476,2743000,Minneapolis,MN
1477,2751730,Plymouth,MN
1478,2754880,Rochester,MN
1479,2758000,St. Paul,MN
1480,2829700,Gulfport,MS
1481,2836000,Jackson,MS
1482,2915670,Columbia,MO
1483,2935000,Independence,MO
1484,2938000,Kansas City,MO
1485,2941348,Lee's Summit,MO
1486,2954074,O'Fallon,MO
1487,2964550,St. Joseph,MO
1488,2965000,St. Louis,MO
1489,2970000,Springfield,MO
1490,3006550,Billings,MT
1491,3050200,Missoula,MT
1492,3128000,Lincoln,NE
1493,3137000,Omaha,NE
1494,3231900,Henderson,NV
1495,3240000,Las Vegas,NV
1496,3251800,North Las Vegas,NV
1497,3260600,Reno,NV
1498,3268400,Sparks,NV
1499,3345140,Manchester,NH
1500,3350260,Nashua,NH
1501,3410000,Camden,NJ
1502,3413690,Clifton,NJ
1503,3421000,Elizabeth,NJ
1504,3436000,Jersey City,NJ
1505,3451000,Newark,NJ
1506,3456550,Passaic,NJ
1507,3457000,Paterson,NJ
1508,3474000,Trenton,NJ
1509,3474630,Union City,NJ
1510,3502000,Albuquerque,NM
1511,3539380,Las Cruces,NM
1512,3563460,Rio Rancho,NM
1513,3570500,Santa Fe,NM
1514,3601000,Albany,NY
1515,3611000,Buffalo,NY
1516,3649121,Mount Vernon,NY
1517,3650617,New Rochelle,NY
1518,3651000,New York,NY
1519,3663000,Rochester,NY
1520,3665508,Schenectady,NY
1521,3673000,Syracuse,NY
1522,3684000,Yonkers,NY
1523,3702140,Asheville,NC
1524,3710740,Cary,NC
1525,3712000,Charlotte,NC
1526,3714100,Concord,NC
1527,3719000,Durham,NC
1528,3722920,Fayetteville,NC
1529,3725580,Gastonia,NC
1530,3728000,Greensboro,NC
1531,3728080,Greenville,NC
1532,3731400,High Point,NC
1533,3734200,Jacksonville,NC
1534,3755000,Raleigh,NC
1535,3774440,Wilmington,NC
1536,3775000,Winston-Salem,NC
1537,3825700,Fargo,ND
1538,3901000,Akron,OH
1539,3912000,Canton,OH
1540,3915000,Cincinnati,OH
1541,3916000,Cleveland,OH
1542,3918000,Columbus,OH
1543,3921000,Dayton,OH
1544,3961000,Parma,OH
1545,3977000,Toledo,OH
1546,3988000,Youngstown,OH
1547,4009050,Broken Arrow,OK
1548,4023200,Edmond,OK
1549,4041850,Lawton,OK
1550,4052500,Norman,OK
1551,4055000,Oklahoma City,OK
1552,4075000,Tulsa,OK
1553,4105350,Beaverton,OR
1554,4105800,Bend,OR
1555,4123850,Eugene,OR
1556,4131250,Gresham,OR
1557,4134100,Hillsboro,OR
1558,4147000,Medford,OR
1559,4159000,Portland,OR
1560,4164900,Salem,OR
1561,4202000,Allentown,PA
1562,4206088,Bethlehem,PA
1563,4224000,Erie,PA
1564,4260000,Philadelphia,PA
1565,4261000,Pittsburgh,PA
1566,4263624,Reading,PA
1567,4269000,Scranton,PA
1568,4419180,Cranston,RI
1569,4454640,Pawtucket,RI
1570,4459000,Providence,RI
1571,4474300,Warwick,RI
1572,4513330,Charleston,SC
1573,4516000,Columbia,SC
1574,4548535,Mount Pleasant,SC
1575,4550875,North Charleston,SC
1576,4561405,Rock Hill,SC
1577,4652980,Rapid City,SD
1578,4659020,Sioux Falls,SD
1579,4714000,Chattanooga,TN
1580,4715160,Clarksville,TN
1581,4740000,Knoxville,TN
1582,4748000,Memphis,TN
1583,4751560,Murfreesboro,TN
1584,4752006,Nashville,TN
1585,4801000,Abilene,TX
1586,4801924,Allen,TX
1587,4803000,Amarillo,TX
1588,4804000,Arlington,TX
1589,4805000,Austin,TX
1590,4806128,Baytown,TX
1591,4807000,Beaumont,TX
1592,4810768,Brownsville,TX
1593,4810912,Bryan,TX
1594,4813024,Carrollton,TX
1595,4815976,College Station,TX
1596,4817000,Corpus Christi,TX
1597,4819000,Dallas,TX
1598,4819972,Denton,TX
1599,4822660,Edinburg,TX
1600,4824000,El Paso,TX
1601,4827000,Fort Worth,TX
1602,4827684,Frisco,TX
1603,4829000,Garland,TX
1604,4830464,Grand Prairie,TX
1605,4835000,Houston,TX
1606,4837000,Irving,TX
1607,4839148,Killeen,TX
1608,4841464,Laredo,TX
1609,4841980,League City,TX
1610,4842508,Lewisville,TX
1611,4843888,Longview,TX
1612,4845000,Lubbock,TX
1613,4845384,McAllen,TX
1614,4845744,McKinney,TX
1615,4847892,Mesquite,TX
1616,4848072,Midland,TX
1617,4848768,Mission,TX
1618,4848804,Missouri City,TX
1619,4853388,Odessa,TX
1620,4856000,Pasadena,TX
1621,4856348,Pearland,TX
1622,4857200,Pharr,TX
1623,4858016,Plano,TX
1624,4861796,Richardson,TX
1625,4863500,Round Rock,TX
1626,4864472,San Angelo,TX
1627,4865000,San Antonio,TX
1628,4870808,Sugar Land,TX
1629,4874144,Tyler,TX
1630,4876000,Waco,TX
1631,4879000,Wichita Falls,TX
1632,4943660,Layton,UT
1633,4955980,Ogden,UT
1634,4957300,Orem,UT
1635,4962470,Provo,UT
1636,4965330,St. George,UT
1637,4967000,Salt Lake City,UT
1638,4967440,Sandy,UT
1639,4982950,West Jordan,UT
1640,4983470,West Valley City,UT
1641,5010675,Burlington,VT
1642,5101000,Alexandria,VA
1643,5116000,Chesapeake,VA
1644,5135000,Hampton,VA
1645,5147672,Lynchburg,VA
1646,5156000,Newport News,VA
1647,5157000,Norfolk,VA
1648,5164000,Portsmouth,VA
1649,5167000,Richmond,VA
1650,5168000,Roanoke,VA
1651,5176432,Suffolk,VA
1652,5182000,Virginia Beach,VA
1653,5303180,Auburn,WA
1654,5305210,Bellevue,WA
1655,5305280,Bellingham,WA
1656,5322640,Everett,WA
1657,5323515,Federal Way,WA
1658,5335275,Kennewick,WA
1659,5335415,Kent,WA
1660,5357745,Renton,WA
1661,5363000,Seattle,WA
1662,5367000,Spokane,WA
1663,5367167,Spokane Valley,WA
1664,5370000,Tacoma,WA
1665,5374060,Vancouver,WA
1666,5380010,Yakima,WA
1667,5414600,Charleston,WV
1668,5502375,Appleton,WI
1669,5531000,Green Bay,WI
1670,5539225,Kenosha,WI
1671,5548000,Madison,WI
1672,5553000,Milwaukee,WI
1673,5566000,Racine,WI
1674,5584250,Waukesha,WI
1675,5613900,Cheyenne,WY
