stpl_fips,Absenteeism,Air pollution - particulate matter,Binge drinking,Breast cancer deaths,Cardiovascular disease deaths,Children in Poverty,Colorectal cancer deaths,Dental care,Diabetes,Frequent mental distress,Frequent physical distress,High blood pressure,High school graduation,"Housing cost, excessive",Housing with potential lead risk,Income Inequality,Life expectancy,Limited access to healthy foods,Neighborhood racial/ethnic segregation,Obesity,Opioid overdose deaths,Park access,Physical inactivity,Premature deaths (all causes),Preventive services,Racial/ethnic diversity,Smoking,Third-grade reading proficiency,Unemployment,Uninsured,Violent crime,Walkability,LERI_1,LERI_2,LERI_3,LERI_4,LERI_5,LERI_6,LERI_7,LERI_8,LERI_9,LERI_10
680812,-0.25097702165076746,2.059176088354458,0.21661314868331574,-0.26805855973658715,0.870388615488965,-0.024442408046538043,0.8451647910958232,-0.14572474632656235,0.10480374114069693,0.41528048296696995,0.3507261745841695,-0.026940924572429033,0.8298880956047349,0.5321860503699399,-0.3760316229507291,-0.24006735260540055,0.17167402563830517,-0.35237545418434124,-0.17917773296058168,0.23279374767164124,-0.5911521884222446,0.5128556191274882,0.1408944697475603,0.028648663269117157,-0.1730613892269976,-0.11512749766759203,-0.40837862306859934,-0.8519420656361764,1.449421084564608,-0.26238122965928656,0.6970417018220182,0.04953018235322449,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
680854,-1.304169353542842,1.3840802004658963,-0.38873129787358474,-2.0038773475255645,-0.3737921050714069,-0.04545787706135787,0.9485780737280275,0.3364551176712375,-0.5921912946415645,-0.8662896681714548,-0.6468880552070307,-1.325360491082971,1.281814663589956,1.3309777496741035,-0.8327038200635638,0.9642662011719261,1.1360675868854873,-0.9126367967264741,0.5497601571549409,-1.3291703338589027,-0.596345457081991,0.41292981344836927,-0.8903264784918373,-1.1716148348062485,0.74754152468031,0.8804957995350563,-1.198044045283295,-0.3731971919785825,-0.4477123146124155,-0.03845926256830828,-1.1465953193366285,1.4762428824215188,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681204,-0.0727770545062894,-0.1483243298546251,-0.9487337802236225,-1.650854631355685,-1.148088219610552,-1.3659991826541238,-1.3546005160069183,0.37851437805808047,0.05574594417479708,-1.5258213962353881,-1.2907734227014434,-0.8481078132816796,0.5960538112054011,-0.15247832271234874,-0.7549828258465808,1.5899495049585566,1.7632477609809376,-0.30654223937665176,-0.20067922190545437,-2.169712671524685,0.16345910471187897,1.1884307838389507,-0.635470840681486,-1.3326534543012467,-0.1730613892269976,1.1523995249647996,-1.3758600423495297,-0.09757180704198894,-0.5622397824711896,-1.4512086146690357,-0.217335864620358,0.7439366510079944,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681344,-0.5576904923980032,1.283282560744157,-0.06081913519271786,0.3451735619828431,0.5688138111716056,-0.2371662757402295,-0.4223978651051752,0.22391886324157229,-0.04269086262007827,-0.355632945495988,-0.14607303230841703,0.10715757378385354,1.459724187544035,0.8281656093972001,-0.1276339716298327,0.6226034895133575,0.6804429990878565,-0.061756570077511355,-0.7983404573561149,-0.666786363550245,-0.5664733977277437,-0.7692082823041861,-0.5969299656761896,-0.488670330341456,-0.2642139927812494,0.7522089346157109,-0.9088297260772159,0.3284768376055996,-0.12523511253931982,-0.4122666317710705,-0.39113961255781615,0.3106233005820382,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
681554,-0.4084808602106356,0.08847889544219902,0.8933647271198173,0.7146576269336464,0.025292213217360065,-0.9407039101496536,1.076982187993538,0.8362122822206257,-0.29071645046913325,-0.3044178731213471,-0.32770244790852676,-0.2776221151989069,0.27429051318898623,0.2340952241932497,-0.8486993652579249,0.9556281576472764,0.6804429990878565,-0.313124934242253,-0.5028510470103987,-0.6287318128833211,0.07269219326137458,0.8015368199018869,-0.635470840681486,-0.18059654764367505,0.6838560483129464,1.1971078264356125,-0.3542275974002687,-0.3855288091581587,0.07413359254142492,-1.1119147599704278,-0.8903805548837179,-0.4023248576808484,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681666,1.5185981077789135,0.431434354405366,-1.2196720773235832,0.697393394981963,-0.3272658757225093,0.2541825376686687,0.10259015088073987,0.054066073831744006,1.1593151295703312,-0.20190879467575287,0.17051304947195098,0.6262920627637638,-1.2605661469748701,0.9823996405842704,0.6219145205554715,0.2588801217843031,0.07829959685936978,-0.313124934242253,-0.7413938032862023,-0.647761725400858,-0.898535785825338,0.20552080628236438,0.21154680778110221,0.46229327146469007,-0.33300602846358013,2.554437187827864,-0.5175170470974451,-1.2586623492099949,1.6376099574063165,-0.24146050293994223,1.2844457598860637,-0.005668626161787254,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
682954,-0.4823253596665741,3.234503198285426,0.21661314868331574,-0.19138372884232643,1.534657896788694,0.7098124282755758,0.922782997495277,-0.4488157828411289,0.3969771052170934,0.2606485752251264,0.5304552951885289,-0.1628827695568981,0.0026851927660663205,0.2340952241932497,-0.514975726186281,-0.1372301436987128,-0.29792902626589324,-0.46130140750413967,-0.6859640168431776,0.9287111910126902,-1.1897536957730146,-0.8766713251028789,0.0697148600962746,0.5749710441596815,-0.15037375009262063,-0.17425170923826824,-0.1933907126429105,-0.4476528817178513,0.16964130521687873,-0.7563055003045601,-0.18472674210075762,-0.2617129773913733,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
682996,-0.4084808602106356,-0.08847947554556913,1.2138809913328592,-0.3648866483350169,0.7391688035167118,-0.04545787706135787,1.4817626978342802,-0.1313947269171206,-0.39072853307128463,0.6217912894212768,0.08022004829265182,-0.7264288077292255,0.24625115634298939,1.46967786242097,-0.6662951706620881,0.31002892951635247,0.9090642787656723,-1.034188545217869,0.11879398108014964,-1.0461415933412974,0.27682172214532114,-0.501954799887708,-0.33179724568611774,-0.3986978432872586,-1.0423636206529623,-0.040344303489732565,-0.3542275974002687,-0.7242915045935534,-0.7414289785208592,0.8119359510636185,-0.1048512925005641,0.10414976279119358,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
684200,-0.8930682530046699,1.5822647284743137,-0.8602423957439476,1.0201469825111082,0.02319751965055147,-0.6477880950417865,0.3717438217069571,0.09664864631989273,0.2513492232641369,-1.1205571853907768,-0.5555141281678443,-0.5349079030101483,1.5325309577428672,0.7860075145411338,0.6704509904333302,0.8152314017540552,1.090795341797115,-0.9820852903295224,-0.8867870276934189,-1.2726708763714338,-0.8631417527913029,-0.16438236072095658,-0.44445127843419424,-0.8663991371485511,-0.425309052829007,0.21333579013948228,-1.6491764858924827,0.40350307095901916,0.8504777176657916,-0.11834891835437925,-0.6288211844241323,0.92245818824158,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
684550,-1.5222653070145358,1.3840802004658963,-2.4492902189205217,-1.2923370383548423,-0.4678486612346471,0.13147982858284604,-0.677971238991108,-0.8152117625354959,1.4858727617746539,-0.5602256383354454,0.395703229530262,0.2175423200417345,0.750608778429183,1.4835255627406814,0.09023362563896353,0.01357399936568816,1.4511942243572926,-2.0063806262284305,-0.15789984091578824,-1.7044082146442618,-0.17516086058774066,0.2759246324611295,0.29913942211828826,-0.721183868809711,-0.3560192047926978,0.735266095484903,-0.6833912144280954,0.0006874825977167068,-0.17693442477897953,0.11647798812232213,-0.3875965172962615,1.1972794573013525,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
